id,source,target,ph,ratio,
0,1,11,60.000000,0.003077,
1,1,27,60.000000,0.003077,
2,6,80,60.000000,0.003077,
3,3,8,150.000000,0.003077,
4,4,10,150.000000,0.003077,
5,1,13,150.000000,0.003077,
6,5,42,150.000000,0.003077,
7,7,47,150.000000,0.003077,
8,9,60,150.000000,0.003077,
9,9,61,150.000000,0.003077,
10,9,62,150.000000,0.003077,
11,9,63,150.000000,0.003077,
12,9,64,150.000000,0.003077,
13,9,65,150.000000,0.003077,
14,9,66,150.000000,0.003077,
15,9,67,150.000000,0.003077,
16,9,68,150.000000,0.003077,
17,9,69,150.000000,0.003077,
18,9,70,150.000000,0.003077,
19,9,71,150.000000,0.003077,
20,9,72,150.000000,0.003077,
21,9,73,150.000000,0.003077,
22,9,74,150.000000,0.003077,
23,9,75,150.000000,0.003077,
24,9,76,150.000000,0.003077,
25,9,77,150.000000,0.003077,
26,15,79,150.000000,0.003077,
27,12,82,150.000000,0.003077,
28,16,85,150.000000,0.003077,
29,17,87,150.000000,0.003077,
30,18,89,150.000000,0.003077,
31,19,91,150.000000,0.003077,
32,20,93,150.000000,0.003077,
33,21,94,150.000000,0.003077,
34,22,95,150.000000,0.003077,
35,9,96,150.000000,0.003077,
36,9,97,150.000000,0.003077,
37,9,98,150.000000,0.003077,
38,78,99,150.000000,0.003077,
39,78,100,150.000000,0.003077,
40,78,101,150.000000,0.003077,
41,78,102,150.000000,0.003077,
42,78,103,150.000000,0.003077,
43,78,104,150.000000,0.003077,
44,78,105,150.000000,0.003077,
45,78,106,150.000000,0.003077,
46,78,107,150.000000,0.003077,
47,78,108,150.000000,0.003077,
48,78,109,150.000000,0.003077,
49,78,110,150.000000,0.003077,
50,81,111,150.000000,0.003077,
51,81,112,150.000000,0.003077,
52,81,113,150.000000,0.003077,
53,81,114,150.000000,0.003077,
54,81,115,150.000000,0.003077,
55,81,116,150.000000,0.003077,
56,81,117,150.000000,0.003077,
57,81,118,150.000000,0.003077,
58,81,119,150.000000,0.003077,
59,81,120,150.000000,0.003077,
60,81,121,150.000000,0.003077,
61,81,122,150.000000,0.003077,
62,83,123,150.000000,0.003077,
63,83,124,150.000000,0.003077,
64,83,125,150.000000,0.003077,
65,83,126,150.000000,0.003077,
66,83,127,150.000000,0.003077,
67,83,128,150.000000,0.003077,
68,83,129,150.000000,0.003077,
