source,target,
608,45,41.657047,
307,294,41.664381,
439,436,41.679685,
873,872,41.679685,
228,219,41.686643,
60,57,41.703644,
507,226,41.792461,
757,226,41.792461,
42,40,41.796711,
522,515,41.796711,
801,173,41.800910,
201,144,41.811062,
151,73,41.820692,
802,801,41.826260,
816,530,41.826260,
872,755,41.826260,
890,874,41.826260,
594,340,41.838117,
342,8,41.840004,
171,45,41.844427,
93,91,41.864646,
620,227,41.887780,
444,429,41.888529,
476,124,41.888529,
141,140,41.892869,
180,179,41.952669,
181,179,41.952669,
600,589,41.952669,
685,245,41.952669,
706,432,41.952669,
761,760,41.952669,
863,109,41.952669,
511,161,41.960484,
312,52,41.976177,
317,52,41.985349,
489,257,41.986901,
418,52,41.996550,
808,807,42.012516,
874,594,42.060673,
508,505,42.065156,
706,92,42.065156,
718,673,42.065156,
818,71,42.117327,
426,409,42.147181,
633,312,42.147181,
145,142,42.156872,
413,213,42.156872,
82,81,42.167355,
196,187,42.167355,
473,468,42.167355,
648,42,42.167355,
746,551,42.167355,
617,615,42.192411,
726,413,42.192411,
757,755,42.192411,
773,770,42.192411,
808,703,42.192411,
466,216,42.217938,
532,388,42.217938,
338,119,42.244297,
481,480,42.261120,
737,735,42.261120,
14,6,42.261586,
200,144,42.261586,
252,48,42.322558,
439,435,42.349436,
412,409,42.355610,
92,89,42.417771,
652,649,42.432042,
766,765,42.468200,
773,771,42.468200,
506,54,42.478369,
682,681,42.489342,
517,516,42.510249,
455,244,42.548683,
153,18,42.558656,
274,218,42.560037,
721,115,42.584350,
467,419,42.584707,
514,419,42.584707,
541,57,42.584707,
426,354,42.593219,
169,45,42.594573,
477,131,42.617796,
630,243,42.617796,
471,365,42.621706,
480,474,42.649599,
97,95,42.724309,
98,97,42.724309,
430,238,42.736667,
811,388,42.737001,
208,16,42.760811,
674,544,42.790195,
442,441,42.813250,
722,167,42.813250,
760,472,42.835775,
128,71,42.848852,
498,306,42.893738,
781,780,42.903111,
794,564,42.903111,
673,101,42.908868,
49,46,42.963781,
478,131,42.963781,
627,267,42.971082,
294,52,42.992468,
762,365,43.033631,
255,211,43.040873,
701,697,43.087769,
587,47,43.100929,
779,340,43.102246,
257,210,43.116171,
179,156,43.127506,
695,77,43.145767,
820,77,43.145767,
540,57,43.151399,
833,343,43.151399,
118,112,43.199432,
565,488,43.243921,
611,610,43.258381,
167,47,43.292322,
444,441,43.331822,
547,282,43.333171,
790,211,43.351713,
492,52,43.378513,
814,101,43.415840,
563,217,43.419539,
858,28,43.419539,
130,120,43.454794,
132,120,43.454794,
778,137,43.503345,
803,11,43.550648,
832,11,43.550648,
433,351,43.554906,
687,628,43.584861,
138,71,43.683130,
382,88,43.694153,
215,9,43.708507,
163,45,43.734870,
175,45,43.734870,
768,404,43.741903,
599,47,43.743285,
281,8,43.763348,
311,8,43.763348,
504,226,43.778437,
160,26,43.812128,
222,219,43.816158,
703,562,43.851332,
589,32,43.865556,
374,373,43.868476,
403,392,43.868476,
454,370,43.868476,
542,515,43.868476,
507,227,43.892134,
641,472,43.968249,
